batch,index,music,hashtag,author,likes,comments,shares,saves
1,0,original sound - Gabby Vargas👑,"@2o9.juniorrr, @just_seann2, viral, fyp, princesos, junje",mamadelosprincesos6,399500,724,25700,363
1,1,,,,25300,193,2421,2243
1,2,,"serverlife, serverproblems, servertiktok, servers",,145500,0,21800,844
1,3,,"colbybrock, colbybrockedit, fyp, viralvideo, blowup, xyz, xplrizz",,255200,5309,83800,5546
1,4,,,kimberly.loaiza,704100,5479,46400,9699
1,5,,"fortnite, fortnitememes, fortniteclips, fortniteupdate, familyguy, gaming, fyp, xtryguy",,1200000,4409,124100,11900
1,6,,,,759400,9537,213800,259800
1,7,,"@panda_sotelo4, nicaragua%F0%9F%87%B3%F0%9F%87%AE%E2%9D%A4%EF%B8%8F",,248000,1806,9564,529
1,8,,,,331200,7011,29700,2749
2,0,,"jesus, 1billionviews, keepbeingviral, amen%F0%9F%99%8F, prayer, bible, christianity, dios, pray",,104200,17500,10300,9046
2,1,,"samsungs9, galaxys9, s9, cheapmobiledubai, malikmubashar333",,72600,992,3446,1730
2,2,,"foryou, sunsets",,3400000,17400,475600,32700
2,3,,,,6000000,40200,405800,114800
2,4,,"taekwondo, fyp, martialarts, poomsae, forms, resistancebands",,201500,2461,23000,5209
2,5,,,,348300,1130,24400,1642
2,6,,"nancy, momolandnancy, foryou, fyp, fyp%E3%82%B7",,27700,425,1789,387
2,7,,,louiecastro,397700,399,14800,611
2,8,,"fortnite, fortniteclips, fortnitememes, fyp",,331500,2694,53700,2912
2,9,,"josepe, xavi, pesopluma, ladiabla",,169100,1401,14000,462
2,10,,"funnycats, funnyanimals, funnypets",,713700,12200,83400,90500
2,11,,,,789300,1118,44400,4161
2,12,,"fyp, viral, blowthisup",,1400000,4940,202700,13800
2,13,,"@mrgundhamtanaka, tuba, bandkids, mic, band, fyp, foryoupage, viral, clairnet, fy, percussion, drumline, dci, trumpet, bassguitar, bandkidsbelike",,604600,3616,71700,9387
2,14,,"fyp, dog",,658800,3930,74100,15700
2,15,,"edit, spiderman, theamazingspiderman, andrewgarfield, aftereffects",,1300000,2541,165700,8367
2,16,,"@migheadgh0, carbonfiber, keyrambit, carsoftiktok, viral, dropshippers",,105900,2852,11300,177
2,17,,"game, build, catan",,283900,1432,23100,10800
2,18,,"cr7, messi, championsleague, barcelona",,110700,6066,8223,518
2,19,,"molcajete, foodtok",,319900,4852,21000,24500
2,20,,"dragonball, animation, satisfying",,749900,5161,93900,41100
2,21,,,kimberly.loaiza,639700,5740,37800,1878
2,22,,"capcut, perritostiktokers, yavalio, perritosasustados, fronteramexicousa, tacosmexico, purasfallas",,86300,709,7861,10400
2,23,,dog,,110200,547,11100,1242
2,24,,,,436000,5546,25000,6860
2,25,,"shoeslaces, foryoupage%E2%9D%A4%EF%B8%8F%E2%9D%A4%EF%B8%8F, fyp%E3%82%B7, nike, airforce, viral, trending, sneakers",,183600,210,56900,7428
2,26,,,keniaos,2300000,11900,81100,3413
2,27,,"hvactechnician, ahrexpo2024, hvaclife, hvac, nylogblue, hvacarmy, hvaccontractor, hvacservice, hvacr, hvactech",,164900,667,6182,646
2,28,,"carlos_eduardo_espina, chicoruizzzz, @carly2726, @just.norag, @cristal.la.chapis.87, @veronica_iba, @chofis0568, @chicoruizzz, @lunabarahona, @soynaty35",,116100,980,6980,25500
