batch,index,music,hashtag,author,likes,comments,shares,saves
1,0,Rich gang - Sufferryanyt,,b.e.n_rl,206800,5767,16200,6795
1,1,Pocketful of Sunshine - Natasha Bedingfield,"bradynoon, walkerscobell, walkerscobelledit, bradynoonedit, viral, theadamproject, secretheadquarters, percyjackson, familyswitch, tmnt, mightyducks, edit, sc4rcc, bradynoon, trending, capricorn, xyzbca, happybirthday",sc4r..cc,456100,5356,82800,2740
1,2,,fyp%E3%82%B7,,346200,4095,19100,946
1,3,,"@lauren.clark.21, @usaflagfb, flagfootball, worlds",,996700,17900,38000,3496
1,4,,fyp,,193400,2363,29200,3107
1,5,,"fyp, youladiesalright%3F, improv, basketball, dub",,688100,1462,55800,1217
1,6,,"fortnite, fortniteclips, fortnitememes",,492300,5408,36400,3461
1,7,,"fyp, funny",,1100000,4228,80000,15500
1,8,,,,217400,461,6567,4381
1,9,,"fyp%E3%82%B7, rubequartz, rubediamond, actors, actress, blm, foryou, trending, edit, xyzcba, viral, @dannyversal, @wtchfies",,293900,3078,45400,873
1,10,,"pov, relatable, backpack, highschool, fyp, fyp%E3%82%B7%E3%82%9Aviral, foryou, foryoupage, viral, comedy, funny, funnyvideos, comedyvideo, funnyvideo, onlydmc, imao, trynottolaugh, hilarious",,2700000,14600,340000,26500
2,0,,,,2100000,16600,207400,43900
2,1,,"capcut, buzzy, buzz, buzzthecat, fyp, 2021, 2022, 2023, 2023season",,324600,1543,52600,944
2,2,,,,882700,1950,121600,5850
2,3,,"presents, fyp, foryou, fortnite, fortnitechapter5, viral",,2200000,60200,246000,61900
2,4,,,,194600,530,7550,198
2,5,,"rafecameron, rafecameronedit, outerbanks, obx, outerbanksedit",,2400000,19000,667100,32400
2,6,,"phonecase, iphone15, cool, macha",,172200,1213,21400,3976
2,7,,"fyp, pbjerry, makeuptutorial, xybca, fyp%E3%82%B7%E3%82%9Aviral, petsoftiktok, foryoupage",,143700,2242,28000,1032
2,8,,,brentrivera,976500,6650,51600,20900
2,9,,,,32000,648,2459,11300
2,10,,,,3500000,36600,319700,215700
2,11,,"moneybook, booktok",,2400000,7943,207900,18300
2,12,,"fyp, viral, smallbusiness, cute, fyp%E3%82%B7",,202500,633,13400,236
2,13,,"only1ebonyy, trending, capcut, pretty, eaststroudsburguniversity, pennsylvania, brooklyn, sopretty, newyork, prettygirls, soprettychallenge, madpretty, naturalhair, naturalhairstyle, naturalhairstyles, naturalhairstylesforblackwomen, naturalhairstylestutorials, naturalhairstylesideas, naturalhairstylesforwomen, curlyhair, curlyhairtutorial, curlyhairroutine, curlyhairstyles, curlyhaircheck, hairinfluencer, naturalhairinfluencer, wiginfluencer, edges, edgestutorial",,181400,856,22600,446
2,14,,,,103800,1536,4524,517
2,15,,caballosbailadores,,1200000,10700,74100,40900
2,16,,"croc, stomppuff, snowboots, comfy, ugly, likeyourex, sliding, shovelingsnow",,192700,715,7339,4532
2,17,,@0fficial.va3h,,2600000,8996,152200,31400
2,18,,"pregnant, pregnanttiktok, pregnant%F0%9F%A4%B0, genderreveal, mom, parents",,751800,5978,59300,2040
2,19,,"roblox, obby",,1300000,4647,152700,8279
2,20,,"fyp, lions",,1200000,2861,39800,759
2,21,,"yskpodcast, youshouldknowpodcast",,320800,2728,25200,10900
2,22,,"fyp, foryou, xyzbca, interview, prize, comedy",,318300,2036,9847,115
2,23,,"pov, xyzabc, fy, bathandbodyworks",,581000,4275,27600,3525
