batch,index,music,hashtag,author,likes,comments,shares,saves
1,0,original sound - ItsAndrewz🥴,,itsandrewz,626800,5584,81300,12800
1,1,,"@laineywilson, singingbarber",theesingingbarber,4099999,94800,282800,115100
1,2,,,brookemonk_,995500,2347,51700,1314
1,3,,"hispanicsbelike, growinguphispanic, jrvillanueva, hispanictiktok, spanglishtiktok",,213800,1414,28600,3050
1,4,,"@aleeka_taylorsversion, lipstick, mom, makeup, family",,244500,431,11100,117
1,5,,,,875700,12000,59000,2650
1,6,,food,,166500,1348,4785,171
1,7,,"fyp%E3%82%B7, relatable, fyppppppppppppppppppppppp, realization, foryoupage, blowthisup, foryou, trending, thefloridaproject",,613600,12200,60700,5425
1,8,,"@iloverussellwilson, @888tweak, football, nba, kobe, soccer, neymar, fyp, foryou",,820000,2622,81800,1282
1,9,,siblingsbelike,yeahitstyg,204400,1844,50000,5848
1,10,,"fyp, fyp%E3%82%B7%E3%82%9Aviral, foryoupageofficial, foryoupage, foryou, xyczba, fy, fyp%E3%82%B7, teacher, classroom, viralvideo, fypage",,747700,8261,88800,1617
1,11,,"fortnitememes, fortniteclips, fortnitefunny, fortnite, fortnitebr, fyp, viral, gaming",,1300000,8507,191700,23600
