batch,index,music,hashtag,author,likes,comments,shares,saves
1,0,orijinal ses - caglar,"capcut, capcut_edit, rek, capcutvelocity",,93600,514,40200,1534
1,1,,"joshhutcherson, fivenightsatfreddy",,12900000,139100,1300000,255000
1,2,,,,109000,4689,16000,2099
1,3,,"coffee, lateforwork, elmodriving, cops, elmo, drivingtowork, work, traffic",,4300000,25600,459500,438200
1,4,,"fyp, fashion",,164100,517,13800,285
1,5,,"@fabulosobrand, fabuloso, cleantok, cleanwithme, cleaningmotivation",,476600,4507,43900,5820
1,6,,"fyp, fyp%E3%82%B7, relatable, recommendations, jakewebber, pookie, cute",,1500000,55300,203700,50800
1,7,,"situationship, relationship, love, dating, comedy, fyp",,5900000,27000,741400,98700
1,8,,"roblox, robloxfyp",,93500,604,7846,180
2,0,,"@pkbsbl24, fyp, therealcoolspot, glitch, newtrend, viral, trending, glitchoverlord, glitchapocalypse, new",,445000,2647,35800,1472
2,1,,"fortnite, fortnitememes, fortniteclips, fyp, fyp%E3%82%B7, funny, fortnitechapter5, fortniteunderground",,2400000,33700,241200,82500
2,2,,"americanhighshorts, jailbreak, iphonehack, tech",,778900,1355,53300,1659
2,3,,,,601700,7072,29900,1130
2,4,,"fyp, fyp%E3%82%B7, foryou, koy, emo, princess, goodgirl, police, chickfila, bffs",,899200,1705,74000,3354
2,5,,"fyp, nfl",,2200000,6112,225400,14800
2,6,,,,30200,1334,1114,117
2,7,,,,619600,2868,49600,1209
