batch,index,music,hashtag,author,likes,comments,shares,saves
1,0,original sound - givesoulmusicatry,"fyp, fashion",,164100,517,13800,284
1,1,,igmirandahhmarie,,410600,1827,44800,7178
1,2,,"winter, harrypotter, ice, icecicles",,2800000,12100,203100,54500
1,3,,"animation, animationmeme, youngsheldon, georgecooper, sheldon, sheldoncooper",,196300,4949,25300,2964
1,4,,"foryoupage, foryourpage, raccoon, raccoonsoftiktok",,2900000,16000,223200,110900
1,5,,"fyp, marlboro, cigsaftersecxs",,1400000,697,150200,64700
1,6,,"capcut, capcut_edit, capcutvelocity, rek, bennyiee",,263600,2478,84200,1959
1,7,,lase%C3%B1orahuevos,,122700,1214,5284,665
2,0,,"pizzahut, tesla, dallas",,1300000,9545,112000,4280
2,1,,"fyp, dog",,666300,3957,75100,15800
2,2,,"fyp, foryou, bracelets, colorful, teacher, 5thgrade, drip, viral, fyp%E3%82%B7, blowthisup, trending, xyzabc, xyzbcafyp%E3%82%B7, fyppppppppppppppppppppppp",,209800,1300,11100,388
2,3,,,,2100000,14900,136300,67200
2,4,,"fyp, viral, food, fries, haha, capcut, trend, song, fyp%E3%82%B7, lol",,293000,8746,47600,2199
2,5,,"handbag, blackcat",,558600,3772,52300,35100
2,6,,"football, fyp, capcut, nfl",,51600,442,12100,1147
2,7,,,,30200,1335,1116,118
2,8,,"tiktokmademebuyit, adhd, trending, musthave",,514200,4721,72900,18400
2,9,,"fyp, goviral, viral%3F, viral, fyp%E3%82%B7, real, makemefamous, makemeviral, xybca, musically, oldtrend, trending",,940600,2124,75900,3400
2,10,,"cute, rabbit",,3200000,36600,248300,381600
2,11,,"on, fyr, capcut, rek, @capcut",,76000,182,25300,609
2,12,,"pigtubewithchucky, minipigs, petpig, indoorpig, pigs, minipig, piggy, pigsoftiktok, foryoupage, fyp, animals, animalsoftiktok, petsoftiktok, pets, cute, asmr, asmrsounds, asmrvideo, asmrtiktoks, asmrfood",,1300000,19000,125400,63900
2,13,,"fyp, foryou",,1300000,10200,134500,19400
2,14,,jellyandbunnie,,1700000,13900,60500,89800
2,15,,,,931100,3942,63500,7882
2,16,,"fyp, highschool, viral",,1200000,5873,128199,1690
2,17,,"fu, erich, money",,1000000,25600,92500,18600
2,18,,"fortnite, fortnitememes, fortniteclips, fyp, fyp%E3%82%B7, funny, fortnitechapter5, fortniteunderground",,2400000,33700,241300,82500
2,19,,"pubgmobile, pubgchallenge, solovssquad, fyp, pubggameplay",,43400,481,2057,161
2,20,,"fyp, concert, oliviarodrigo, sourtour, gutstour",,1300000,5267,112400,6883
2,21,,fyp,,3000000,10700,153700,13400
2,22,,"funny, happy, foryou, douyin, %E6%8A%96%E9%9F%B3",,1900000,12900,118400,21400
2,23,,"top, tiktok, relax, tiktokindia",,6900000,61000,716100,316900
2,24,,,,1100000,3912,86000,21800
2,25,,"dogsoftiktok, fyp",,7900000,18100,344100,75700
2,26,,heartmacaron,,115800,132,4857,317
2,27,,"massage, massagetutorial, massageathome, calfmassage, legmassage, calfworkout, legcare, spamassage, healthy, massageusa, fyp",,1300000,2571,503500,185400
2,28,,"familygamenight, competition",,89500,142,1734,373
