batch,index,music,hashtag,author,likes,comments,shares,saves
1,0,original sound - Gavin.kernstinee,igmirandahhmarie,mirandahshaul,410800,1834,44800,7184
1,1,,"car, auto, cartiktok, cars",,391700,4455,70600,54800
1,2,,"driftking, drift, gaming, drivingtest, fyp",,94700,468,13500,7402
1,3,,"fyp, askkj, xyzbca",,215500,808,20000,610
1,4,,"americanhighshorts, jailbreak, iphonehack, tech",,785100,1356,53800,1672
1,5,,"genderreveal, boyorgirl, guess, surprise, mom, dad, icebath, icequeen, coldplunge, fun, family, hubby, parents",itskyajeub,1500000,13700,49200,26300
1,6,,lase%C3%B1orahuevos,,122800,1214,5290,666
1,7,,"@wenonugget, omega, nugget, wow, a, new, emotion",,2400000,12100,316900,92200
1,8,,,brookemonk_,987800,2326,51200,1303
2,0,,"collect, warrior",,209600,1841,22900,4181
2,1,,"hauntedhellfire, jakeandjohnnie, jakewebber, johnnieguilbert, jakewebberedit, johnnieguilbertedit, jakeandjohnnieedit",,218400,1618,64500,2130
2,2,,blindkaraoke,,1000000,907,44600,2152
2,3,,,,852800,13900,54300,4747
2,4,,"lamborghini, urus, fyp, loud, exhaust, fabspeed, raw, foryou, goodbye",,121900,2299,6992,4521
2,5,,"winter, harrypotter, ice, icecicles",,2800000,12100,203100,54500
2,6,,"lowrisejeans, flarepants, skims, jewelry, hairstyle, ootd, outfitinspo, makeup",,1200000,3925,90400,3764
2,7,,,,569200,1054,23100,481
2,8,,"nba, sports, basketball, fyp",,4300000,3458,259200,8548
2,9,,"marines, military, mortars, 0341, foryou, fyp",,186300,375,7496,2307
2,10,,"parrot, parrotsoftiktok, bird, pet, cute, foryou, tiktok",,674500,23100,54800,150200
2,11,,"fu, erich, money",,1100000,26100,93100,18800
2,12,,,,5600000,8885,374300,28100
2,13,,"stickyhands, slappyhands, coin, partygames, moneybags, lasvegasfamily",gettishow,172900,2112,16400,741
2,14,,"fyp%E3%82%B7, foryou, foryoupage, fyp, fy, indiana, waaaygood, everydayfunday, pinkysup, jasonwhatareyoudoing, ayoooo, longervideos",,1200000,32400,93600,108100
2,15,,,,65300,26200,2928,5806
2,16,,"mom, baby, tiktokmakemebuyit",,39300,1083,5893,1163
2,17,,"@idk_lol4ik, oil, oliveoil, ketchup, ketchupchallenge, asmr, pizza, cake, dough, pie, board, kitchenhack, kitchengadget, pizzalover, pizzapeel, slidingpizzapeel",,581200,5164,30800,3436
2,18,,"fortnite, go1den, fortnitefunny, fortniteclips, fyp",,83700,534,8250,1521
2,19,,fyp%E3%82%B7,,335000,1021,49800,2041
2,20,,"signagedesign, signage, ledneon, ledlight, signature, lightbox",,86000,303,12100,3837
2,21,,"artistsoftiktok, tutorial, fyp%E3%82%B7, car, drawing",,309600,541,71400,1322
2,22,,"iloveyoubro, friendshipgoals, bromance, sneakersaddict",,552500,2827,15500,5582
2,23,,"generations, generation, fyp, fyp%E3%82%B7, foryou, trending, fish, fishing, fishtok",,115000,6124,6083,1711
2,24,,,,2600000,8826,296200,25700
2,25,,"build, howto, truck, construction, diy, contractor",,140500,1884,24600,21600
2,26,,"atodamadre%F0%9F%8F%A7, %F0%9F%A4%99%F0%9F%8F%BD%E2%80%BC%EF%B8%8F%F0%9F%8F%A7%E2%80%BC%EF%B8%8F%F0%9F%A4%99%F0%9F%8F%BD, dd%F0%9F%92%ABuniverse, wyoming",,525200,3730,36800,143800
2,27,,"challenge, matching, matchthecolor, waterbottle, colors, coupleschallenge, games, marriage, husbandwife",,199700,582,8001,1298
2,28,,"fyp%E3%83%84, foryoupage, identicaltwins, dance",,1200000,2931,175800,7670
