batch,index,music,hashtag,author,likes,comments,shares,saves
1,0,nhạc nền - V,"animals, confusingbehavior, chipicat, cutecat, catdance",marceloeguino,736500,14600,72600,94400
1,1,,"driftking, drift, gaming, drivingtest, fyp",,94700,469,13500,7403
1,2,,"car, auto, cartiktok, cars",,391800,4455,70600,54800
1,3,,"@laineywilson, singingbarber",,4099999,94800,282500,115100
1,4,,"americanhighshorts, jailbreak, iphonehack, tech",,792300,1360,54500,1680
1,5,,,,30400,1341,1126,120
1,6,,,,759800,9533,213800,259899
1,7,,"fyp%E3%83%84, foryoupage, identicaltwins, dance",,1200000,2933,175900,7674
1,8,,"viral, fu, moneytok",,183000,1692,23900,3103
