batch,index,music,hashtag,author,likes,comments,shares,saves
1,0,original sound - David Lawson,,dobretwins,261700,4309,31400,4425
1,1,,"fy, foryou",alayaxharmon,370700,2032,39900,2135
1,2,,,,627000,5587,81400,12800
1,3,,"hoodie, makeup",,173000,337,5798,98
1,4,,"fyp, foryoupage, food, cooking, foodasmr, recipe",,2500000,4401,111700,1937
1,5,,,,169400,15000,18300,22000
1,6,,"hispanicsbelike, growinguphispanic, jrvillanueva, hispanictiktok, spanglishtiktok",,213800,1414,28600,3050
1,7,,"fyp, edit, editor, aftereffects, videostar, ae, vsp, percyjackson, pjo, pjoedit, walkerscobell, walkerscobelledit",,833700,6355,212800,8942
1,8,,"school, work, homework, fyp, foryou, whatawasteofmyday, foryoupage",,2000000,5421,117700,5937
1,9,,"fortnite, fortniteclips, fortnitememes, fyp",,441500,2486,43000,16000
1,10,,,,729600,39500,57600,1533
1,11,,"fyp, ciara, stunnagirl, travisproduction",,345500,2180,16500,1011
2,0,,"fortnitememes, fortniteclips, fortnitefunny, fortnite, fortnitebr, fyp, viral, gaming",,1300000,8507,191700,23600
2,1,,"nfl, nfltrivia, patriots, texans, bills",,218800,145,7544,298
2,2,,"bowhunting, bigbuck, archery",,537400,6531,64500,38100
2,3,,stunnastina,,974900,3963,100300,5606
2,4,,"fyp, viralvideo, viral, relatable, xyzbca",,668000,0,34600,5948
2,5,,,,7100000,17400,398600,13700
2,6,,"christmas, santaclaus, pov",,148500,4661,22200,111400
2,7,,"fyp, fun, dance, dlxstv",,413000,3370,78600,3264
2,8,,"fypage, getviews, trending, blowthisup, bluecollar, construction",,351000,4230,45200,45400
2,9,,"fyp%E3%82%B7, mexico%F0%9F%87%B2%F0%9F%87%BD, packingsnacks",,648000,1894,38700,8025
2,10,,"tinfades, barber, illinoisbarber, haircut",,759700,2293,75100,4598
2,11,,"movie, disney, movies, film, pixar, films",,234300,197,14300,217
2,12,,"nashvillehotchicken, asmr, fyp, foodhub",,957300,3315,86400,29000
2,13,,"@iloveclio, tarayummy, fyp, fyp%E3%82%B7, foryoupage, blowup, viral, edit, xplrflms",,509700,1124,101800,2696
2,14,,@killsmartyrclothing,,370400,3083,46700,2481
2,15,,,,1700000,15600,162700,15800
2,16,,"roblox, shadowboxing, jahgotbags, icespice",,271900,1057,48900,1090
2,17,,,,489400,5033,50300,4998
2,18,,"only1ebonyy, trending, capcut, pretty, eaststroudsburguniversity, pennsylvania, brooklyn, sopretty, newyork, prettygirls, soprettychallenge, madpretty, naturalhair, naturalhairstyle, naturalhairstyles, naturalhairstylesforblackwomen, naturalhairstylestutorials, naturalhairstylesideas, naturalhairstylesforwomen, curlyhair, curlyhairtutorial, curlyhairroutine, curlyhairstyles, curlyhaircheck, hairinfluencer, naturalhairinfluencer, wiginfluencer, edges, edgestutorial",,183800,866,22900,451
2,19,,"@iloverussellwilson, @888tweak, football, nba, kobe, soccer, neymar, fyp, foryou",,820000,2622,81800,1283
2,20,,,,2100000,16700,207600,43900
2,21,,"surprise, drama, fyp, viral, trending",,13800,336,1761,208
2,22,,"@aleeka_taylorsversion, lipstick, mom, makeup, family",,244500,431,11100,117
2,23,,"fyp, viralvideo, foryourpage, relatable, couple, gf, bf, toy, christmas",,247100,1045,21100,764
2,24,,"dnd, yhauna, fyp, fypage, fy, foryoupage, foryou, fyp%E3%82%B7%E3%82%9Aviral, fypdongggggggg, fyppppppppppppppppppppppp, dontletthisflop, relatable, funny, viral, viralvideo, blowthisup, trending, flopada, flopera, floptok%F0%9F%98%8D%F0%9F%98%8D%F0%9F%98%AD%F0%9F%98%8C%F0%9F%A4%9E%F0%9F%92%85%F0%9F%92%85, floptok, makemefamous, xyzbca, xyzbcafyp%E3%82%B7, viraltiktok, tiktok, relateablecontent, ipad, stopflop%F0%9F%A5%B1",,1100000,4985,106300,6227
2,25,,"fyp, foryou, fyp%E3%82%B7, meme, viral, storytime, blowthisup",,68000,437,14300,380
2,26,,"late, friends, paramore, herway, herwaychallenge, presidentdeborahalivilliams, deborahaliwilliams, floptok, flopera",,383000,1582,38200,3423
2,27,,"skit, comedy, memes, anime",,797100,2364,72100,7659
2,28,,fyp,,417900,924,38500,4657
