batch,index,music,hashtag,author,likes,comments,shares,saves
1,0,Cha Cha - ZEDDY WILL,dothechacha,bebopandbebe,102500,2366,9901,1046
1,1,,"fyp%E3%82%B7, relatable, trending, aylecia, blowthisup, viral, qtips",,280800,629,15600,166
1,2,,"crime, theft, gift, giftcards, store, christmas, criminal, thief, saftey, security",,694600,15100,71900,129000
1,3,,,,30400,1340,1129,120
1,4,,"teachersoftiktok, teacher, teachertok, highschoolteacher, music",,2200000,14900,204300,4592
1,5,,fyp%E3%82%B7,,336300,1022,50100,2055
1,6,,"fyp, fortnite, gaming, trendiing, fortnitezerobuild, fortnitebr, fortnitememes, fortnitepro, camnutz",,30600,449,2185,33
1,7,,,,68600,372,4582,417
2,0,,"@bbelllav_, 6foot10, 4foot8, fyp, talltok, heightdifference",,319100,4130,17600,4290
2,1,,,keniaos,655300,10500,28300,3478
2,2,,,,525700,3379,84500,3345
2,3,,"hack, tubingmascara",,483800,1793,29600,2399
2,4,,"generations, generation, fyp, fyp%E3%82%B7, foryou, trending, fish, fishing, fishtok",,115100,6132,6087,1712
2,5,,tall,,132500,888,5182,1029
2,6,,"chainsfr, animation",,133600,413,16700,342
2,7,,"@lokitheturkey, experiment, ballon, test, fyp",houseofhighlights,147100,987,9564,881
2,8,,fyp,,193500,2363,29200,3108
2,9,,"@user1760982938853, fyp%E3%82%B7, cutebaby, babyfever, trending",,44300,1053,2394,420
2,10,,"fyp%E3%82%B7, therealnia, foryoupage, trending, comedy",,362400,2146,39400,1694
2,11,,"friends, paramore, herway, herwaychallenge, presidentdeborahalivilliams, deborahaliwilliams, floptok, flopera",,225600,891,25900,1663
2,12,,"fyp, explore, apple, tesla, cybertruck, applevisionpro",whistle,453000,5707,33500,13800
2,13,,"fyp, sleepingschedule, relatable",,646900,3533,79800,4801
2,14,,"fyp, trending, dogsoftiktok, foryoupage",,3700000,21900,280600,66500
2,15,,"fyp, viral, trending, twins",,664100,1299,105200,6534
2,16,,"duoplushie, duolingo, languagelearning, emo",duolingo,5800000,165700,526100,109000
2,17,,"fortnite, fortnitememes, fortniteclips, fortniteupdate, familyguy, gaming, fyp, xtryguy",,1200000,4493,127400,12200
2,18,,"cold, freezing, meme, fyp%E3%82%B7%E3%82%9Aviral, funny, relatable, fastfood",,120000,545,7869,2125
2,19,,"fortnite, fortnitechapter5, xpglitch, fortnitelevels, fortnitexpmaps",,723600,3703,254000,17800
2,20,,"asmr, asmrlivenow, rainycarrideasmr",,941100,2432,80200,816
2,21,,@charlieberens,,520799,5257,37100,36100
2,22,,"viral, fyp, foryou, bracelets, colorful, teacher, 5thgrade, fyp%E3%82%B7, blowthisup, drip, trending, xyzabc, xyzbcafyp%E3%82%B7",,675800,3074,52300,876
2,23,,"relatable, childhood, nostalgia, mom, laundry",,3500000,7537,313400,34400
2,24,,"dogsoftiktok, fyp",,7900000,19100,345000,75800
2,25,,"iphe, viral, xyzbca",iphe._a,117400,1089,3196,645
2,26,,"lifehacks, didyouknow, todayyearsold, fyp",,66700,506,5210,501
3,0,original sound - liz ✩,,katemaries,1000000,2469,92400,2174
3,1,FANCY (SLOWED + REVERB) - Godlike Pariah,"artistsoftiktok, tutorial, fyp%E3%82%B7, car, drawing",inthehandsoflando,309800,541,71400,1322
3,2,original sound - Daniel LaBelle,,daniel.labelle,801000,3697,45400,31600
3,3,original sound - #getactive🫵🏾,"tommytheclownedit, fyp%E3%82%B7, tommytheclownn, ifollowcommunityguidlines, tsquadedits, ladyktsquad, ladyktommy, ladyktommytheclown%F0%9F%92%95, lineitup",_tsquaddeditz,83000,327,12300,402
3,4,bounce (i just wanna dance) - фрози & joyful,@icanteven,barstoolsports,4300000,37700,220300,87300
3,5,original sound - Amy Shin,"@roblox12899898, falsies, lashes, makeuphacks",amyyshin,1000000,3144,64400,1297
3,6,original sound - upp24532424,"foryoupage, christmas, santaclaus",upp24532424,268900,34400,27500,550500
3,7,IMMMMM UPPPPP - Antwitdatfatty 🍑,"fyp%E3%82%B7, relatable, trending, aylecia, xybca",leci.bby,265300,1061,41600,3753
3,8,original sound - emann💕,"fyp%E3%82%B7, makemefamous, blowthisup, viral, emanrizz, rizz",yungemann,517900,1530,39600,1626
3,9,Oi - My Soul Gone,"tmnt, ninjaturtles, fyp, raphael, viral, trending",radicalraphael,1200000,9267,124700,17300
3,10,original sound - Gottalaughitout🖤,"fyp, foryourpage, viralvideo, relatable, couple, gf, bf",jnl.production,510500,1166,50200,6490
3,11,original sound - Celow brown 🖤,"fyp, neveragain, blowthisup, wrongchoice, fyp, rodwave, relatable",abdi.mali5,1300000,7265,108100,24900
3,12,sonido original - Jungkook's gf🌷,"mexicantiktok, fyp",jacqui_olivera04,3500000,26300,249900,75700
3,13,الصوت الأصلي - ASMAA,,princessameliawu,248800,8255,29400,691
3,14,Wondering Why - The Red Clay Strays,"@themodernproper, soup, soupseason, souptok, soupforthesoul, soupfordinner, dinner, dinnerideas, dinnerinspo, souprecipes, soupideas, soupinspo, dinnerrecipes, dinnertime, easydinner, easysouprecipe, easysouprecipes, tortellinisoup, creamytortellinisausagesoup",chacekitchen,806900,2185,301100,48300
3,15,Emotional - Bang Nono,fyp,hades_srt,303900,635,14600,1827
3,16,original sound - Global Dance Supreme,fyp,zay3locked,298000,18200,17500,2411
3,17,original sound - jovynn,"fyp, miami, artbaselmiami, artbasel, miamiproblems, hialeah, 305",imstephm_,1100000,12500,54800,25200
3,18,yes and - chan,,ashleyb4253,555100,7173,49500,2647
3,19,original sound - ✨DLA Fam✨,"family, 6foot10, 5foot2",dla_fam,2800000,29200,154700,16800
3,20,sonido original - Kimberly Loaiza,,kimberly.loaiza,704800,5478,46500,9784
3,21,original sound - Luxury Life,"@brittneycastro256, moana, actingaudio, liveaction",n1.que,765000,2135,40900,811
3,22,UKRAINE - Jay Hound & Jay5ive & SweepersENT,,nolimitjay_,235700,1586,23100,973
3,23,original sound - Bunny,"fyp, fyp%E3%82%B7%E3%82%9Aviral, foryoupageofficial, foryoupage, foryou, xyczba, fy, fyp%E3%82%B7, teacher, classroom, viralvideo, fypage",bunnygirrlll,747800,8263,88800,1617
3,24,original sound - Dori,"fortnite, fortnitememes, fortniteclips, fyp",dorifnbr,284900,1062,38400,1536
3,25,original sound - Lucas and Marcus,,dobretwins,350900,1908,25900,636
3,26,original sound - Ceqg.ruiwe24jb,"texts, texting, textingstory, textingstories, rizz, minecraftparkour",ceqg.ruiwe24jb,202800,995,26100,2057
3,27,From Tha Back - lil.Eaarl,"fyp%E3%83%84, foryoupage, identicaltwins, dance",zaii623,1200000,2926,176100,7682
3,28,original sound - Probably_Not_Chris2,,probably_not_chris2,888900,1964,122300,5892
3,29,original sound - goddess.of.survival?,,annaisspaulino,319300,2731,34400,3877
4,0,original sound - The Mannii Show,"freecomedy, themannii",the_mannii,58400,690,5938,242
4,1,original sound - Brianna Yannucci,"croc, stomppuff, snowboots, comfy, ugly, likeyourex, sliding, shovelingsnow",briannayannucci,194100,722,7428,4548
4,2,original sound - 𝐤𝐫𝐢𝐬 🧸ྀིྀི !!,"missycooper, foryou, foryoupage, fyp, actives, vsp, videostar, videostaredit, videostartutorial, coloringtutorial, videostarcoloring, vsedits, edit, qrcode, qrcodes, vsqrcodes, flopera, krissaily, strangerthings, strangerthingsedit, youngsheldon, missybeingmissy, georgecoopergettingroasted, stacyandmateo",krissaily,710900,4246,147000,2722
