batch,index,music,hashtag,author,likes,comments,shares,saves
1,0,Obsessed - 𝐒𝐏𝐎𝐓𝐈𝐅𝐘,,b.e.n_rl,109800,4741,16200,2119
1,1,,"fyp%E3%82%B7, relatable, trending, aylecia, blowthisup, viral, qtips",leci.bby,280800,629,15600,165
1,2,,,,625700,5560,81100,12800
1,3,,,jamesneese2,507400,6075,22800,6061
1,4,,"monroecheerleaders, cheerleading, cheercoach",,181200,2151,18500,644
1,5,,"fyp, foryou",,173600,844,13600,100
1,6,,"creative, cute, cutepet, catdance, catsoftiktok, chipiyadichipi",,570200,18600,62400,160300
1,7,,"boardgames, gamenight, couple, fun",,38600,66,1533,190
1,8,,"fy, fyp, curlscheck, curlyhairroutine, curlyhairtutorial, curlygirlmethod, curlyhair, curlygirl, naturalhair, blowout, blackgirlmagic, blackhair, hairtok, straighthair, curls, blacktiktok, braids, protectivestyles, longhair, longhairdontcare, hairgrowth, hairjourney, hairstyle, naturalhairstyles, natural, hairtutorial, blackgirltiktok",,2200000,7931,110300,12700
1,9,,,brentrivera,368200,439,14100,787
1,10,,"fyp, relatable",,499100,0,44700,2036
1,11,,,,130300,324,5246,247
2,0,,"dancechallenge, trending, 876, jamaicantiktok%F0%9F%87%AF%F0%9F%87%B2viral, onlyinjamaica%F0%9F%98%82%F0%9F%87%AF%F0%9F%87%B2%F0%9F%87%AF%F0%9F%87%B2%F0%9F%87%AF%F0%9F%87%B2",,125800,936,8799,3750
2,1,,"fyp, fyp%E3%82%B7, foryou, foryoupage, dance, dancetok, dancetutorial, trending, viral, 2024, 2024tiktok, happy",,4801,47,1028,173
2,2,,"%F0%9F%A5%B0%F0%9F%98%98%F0%9F%98%98%F0%9F%98%98%F0%9F%A5%B0, parati, foryou, %E2%9D%A4%EF%B8%8F%E2%9D%A4%EF%B8%8F%E2%9D%A4%EF%B8%8F",,22200,483,643,93
2,3,,jamieleecurtis,hodaandjenna,41900,456,1116,225
2,4,,@sophia.kintz,,26500,209,3321,94
2,5,,,,4797,31,941,242
2,6,,"fyp, tiktok, foryourpage, povs, foryou, singing",,4663,150,955,75
2,7,,"fyp%E3%82%B7, fyp, parati",,142900,447,7474,847
2,8,,jamaican,,49200,211,3606,459
2,9,,,saigraceofficial,10800,64,745,245
2,10,,"gyat, recoil, baddie, trendingvideo, egirl, fyp%E3%82%B7%E3%82%9Aviral, fakebody, fitcheck, dance, xyz, abcxyz, pajamajam",,50100,786,12000,1290
2,11,,,,13100,441,1797,1477
2,12,,"mapara, skomota, makhadzi, @beeteewaodancer",,13800,144,403,510
2,13,,"fyp, foryou, foryoupage, caribbeangirl, caribbean, caribbeantiktok, guyanese, guyanesegyal, trini, trini_tiktoks, trinitiktok, guyanesetiktok%F0%9F%87%AC%F0%9F%87%BE, jamaicatiktok, jamaicantiktok%F0%9F%87%AF%F0%9F%87%B2viral, trinitiktok, caribbeantiktokeurs%F0%9F%87%AD%F0%9F%87%B9%F0%9F%87%AC%F0%9F%87%BE%F0%9F%87%B9%F0%9F%87%B9%F0%9F%87%B8%F0%9F%87%B7%F0%9F%87%AF%F0%9F%87%B2",,22700,114,1129,513
