batch,index,music,hashtag,author,likes,comments,shares,saves
1,0,original sound - ®️ Louieveegang💙,@louieveemoonteenmoonfam,louieveedee,297300,1571,20300,722
1,1,,"pawrenting101, pawrents, park, tank, yorkie, yorkiesoftiktok, sweaterweather, hoka, tank_ms, bestdayever",tank_ms,3800000,8738,204600,144000
1,2,,"fyp, brooksdrafs, brooklynqueen, jaycincoo, jaybrook, brooklynqueenedit, jaycincooedit, jaybrookedit",,341400,685,38900,861
1,3,,"fyp, viral, trending, twins",,664400,1300,105200,6536
1,4,,"fyp, xyzbca, viral",,1900000,9212,158200,17300
1,5,,"fyp, foryou, bracelets, colorful, teacher, 5thgrade, drip, viral, fyp%E3%82%B7, blowthisup, trending, xyzabc, xyzbcafyp%E3%82%B7, fyppppppppppppppppppppppp",,221900,1382,12200,414
1,6,,,,335300,7150,30200,2824
1,7,,"lifehacks, didyouknow, todayyearsold, fyp",,66900,506,5231,502
1,8,,,,627200,5589,81400,12800
2,0,,"@2o9.juniorrr, @just_seann2, viral, fyp, princesos, junje",,402500,725,26000,367
2,1,,"fortnite, fortniteclips, fortnitememes",,493300,5418,36500,3471
2,2,,,,1000000,1185,40200,1985
2,3,,rihanna,,506000,1370,19400,1446
2,4,,"fyp, 4u, relatable, viral, emo, 08, tgcf, obeymeshallwedate, genshinimpact, highschool",,862400,8206,96000,6513
2,5,,"fortnite, fortnitebr, fortnitebattleroyale, fortnitecreative, fortnitefestival, legofortnite, fortniteracing, fortnitememes, fortnitevideos, fortnitetips, fortnitetiktok, fortniteclan, fyp, foryou, foryoupage, fypplease, foru, foryoupageofficiall, fyponly, foryouonly, foryoupageonly, viral, fyp%E3%82%B7, funny, fypviral, viralvideo, viraltiktok, viralvideoonly",,1600000,8874,239200,12600
2,6,,@bellapayton12,,282300,794,14900,6250
2,7,,"hakiyuu, haikyuuphase, 2020phase, fyp, foryou, anime, animephase",,952300,9322,73100,8380
2,8,,"capcut, tiktoktrending, hockeyplayer, viralhockey, hockeytrending, nhlgameday, flapanthers, gamedayready, montour, brandonmontour, nhl, nhltiktoks, nhlvideos, trendingnhl, @flapanthers, @nhl",,2500000,3060,199000,3583
2,9,,"ootd, outfitinspo, fashion, fitcheck, ootw",,687300,1772,67200,1944
2,10,,"chrissturniolo, chrissturniolo, chrissturnioloedit, christophersturniolo, stvrniolostar, sturniolotriplets, sturniolo, sturniolotripletsedit, edit, vsp, videostar, fyp, foryoupage, omgpage, christophersturnioloedit",,272900,1891,84500,1877
2,11,,fyp,,3000000,10700,154500,13500
2,12,,"@555.safjola.555, @johnniibeanasmr, asmrlivenow, dentistasmr, realisticasmr, asmrhumor, asmrsounds, asmrroleplays",,172300,1518,23500,661
2,13,,,kimberly.loaiza,1900000,9227,95400,5691
2,14,,"fyp, askkj, xyzbca",,215700,808,20100,611
2,15,,,,11900,186,1032,178
2,16,,"cold, freezing, meme, fyp%E3%82%B7%E3%82%9Aviral, funny, relatable, fastfood",,120000,545,7869,2125
2,17,,"fyp, fypage, foryoupage, relatable, trentonfs, intrentonfswetrust",,115900,13600,16800,12300
2,18,,"christmas2024, merrychristmas, jesusname, lordamen, happybirthday, thankgod, jesuschrist, america",,402700,47300,42000,53400
2,19,,"generations, generation, fyp, fyp%E3%82%B7, foryou, trending, fish, fishing, fishtok",,115100,6133,6087,1712
2,20,,blindkaraoke,,1000000,916,45500,2166
2,21,,"fyp, fyp%E3%82%B7, tiktok, foryou",,139700,1138,16100,3213
2,22,,"chainsfr, animation",,133600,413,16700,342
2,23,,"fyp, foryoupage, fyp%E3%82%B7, fyp%E3%82%B7%E3%82%9Aviral, 5xpictures, pov, thatonefriend, bff, disneyworld",,2800000,43400,176100,58800
2,24,,"ilovemybf, boyfriend, girlfriend, bf, gf, doll, livingdoll, dollette, porcelain, sweet",,473500,0,70500,9046
2,25,,"fy, foryou",,371000,2034,39900,2135
2,26,,"metalgear, mgrr, metalgearrisingrevengeance, raiden, armstrong, fyp, foryoupage",,157100,1107,25200,685
