batch,index,music,hashtag,author,likes,comments,shares,saves
1,0,original sound - 𝙹𝚒𝚕𝚕𝚒𝚊𝚗 ✰,"@blissztp, dance, zepetodance, zepetotiktok, zepetoapp, fyp, zepeto, makethisviral, zepetotiktok2023%F0%9F%92%96%F0%9F%92%97, just_ace80, viral, xyzabc",jillian.zpt,60100,640,13800,730
1,1,,@bellapayton12,,282300,794,14900,6250
1,2,,,dobretwins,261700,4309,31400,4424
1,3,,"fyp, fypage, fypviral%E3%82%B7, capcut, meme, memecut, elmodriving, gaming, mariokart, mariokart8deluxe, nintendoswitch, gamingclips, trending, funny, viral, viralvideo",,95100,421,8365,8198
1,4,,"@laineywilson, singingbarber",,4099999,94800,282800,115100
1,5,,"pawrenting101, pawrents, park, tank, yorkie, yorkiesoftiktok, sweaterweather, hoka, tank_ms, bestdayever",,3800000,8739,204500,144000
1,6,,"@2o9.juniorrr, @just_seann2, viral, fyp, princesos, junje",,402500,725,26000,367
1,7,,"fyp, viral, trending, twins",,664000,1299,105200,6534
1,8,,,,68600,372,4582,417
